generation,individual,neg_auroc,latency_ms,peak_ram_mb,energy_mj,valid,error,candidate,metrics
10,20,-0.8658730158730158,21.790814876556396,1779.75,9999.0,True,,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [192, 64, 16, 64, 24], ""kernel_size"": [3, 3, 7, 5, 3], ""block_type"": [""conv"", ""conv"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [1.0, 6.0, 0.5, 0.5, 0.5], ""skip_connections"": [false, true, false, false, false], ""attention"": [""se"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [4, 6, 4, 8, 8], ""act_bits"": [6, 4, 8, 6, 8], ""symmetric"": false, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 8, ""layer_weight_bits"": [4, 6, 4, 8, 8], ""layer_act_bits"": [6, 4, 8, 6, 8]}}",{}
10,21,-0.7714285714285714,12.547743892669677,1879.3828,9999.0,True,,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 128, ""depth"": 5, ""channels"": [16, 48, 24, 48, 256], ""kernel_size"": [5, 7, 5, 7, 5], ""block_type"": [""conv"", ""ir"", ""ir"", ""conv"", ""ir""], ""bottleneck_ratio"": [1.0, 4.0, 4.0, 2.0, 0.5], ""skip_connections"": [false, false, false, false, false], ""attention"": [""spatial"", ""spatial"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": 4, ""act_bits"": 8, ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": false, ""global_weight_bits"": 4, ""global_act_bits"": 8, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [6, 4, 4, 4, 4]}}",{}
10,22,-0.8761904761904762,14.64993069966634,1866.7656,9999.0,True,,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 16, 192, 16, 16], ""kernel_size"": [5, 7, 7, 3, 5], ""block_type"": [""conv"", ""ir"", ""ir"", ""conv"", ""ir""], ""bottleneck_ratio"": [1.0, 4.0, 4.0, 2.0, 4.0], ""skip_connections"": [false, false, false, false, true], ""attention"": [""none"", ""eca"", ""spatial"", ""se"", ""spatial""]}, ""quant_spec"": {""weight_bits"": 4, ""act_bits"": 8, ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": false, ""global_weight_bits"": 4, ""global_act_bits"": 8, ""layer_weight_bits"": [6, 8, 4, 8, 6], ""layer_act_bits"": [8, 6, 6, 4, 6]}}",{}
10,23,-0.8412698412698413,15.546049022674561,1788.4648,9999.0,True,,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 256, ""depth"": 5, ""channels"": [24, 48, 64, 64, 16], ""kernel_size"": [5, 3, 7, 7, 7], ""block_type"": [""ir"", ""ds"", ""ir"", ""ds"", ""conv""], ""bottleneck_ratio"": [6.0, 1.0, 0.5, 2.0, 4.0], ""skip_connections"": [false, false, false, true, false], ""attention"": [""se"", ""se"", ""eca"", ""spatial"", ""cbam""]}, ""quant_spec"": {""weight_bits"": [4, 4, 8, 8, 6], ""act_bits"": [8, 8, 6, 8, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 4, ""layer_weight_bits"": [4, 4, 8, 8, 6], ""layer_act_bits"": [8, 8, 6, 8, 4]}}",{}
10,24,-0.8539682539682539,13.99545602798462,1813.0859,9999.0,True,,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 256, ""depth"": 2, ""channels"": [32, 192], ""kernel_size"": [7, 3], ""block_type"": [""ds"", ""ds""], ""bottleneck_ratio"": [2.0, 2.0], ""skip_connections"": [false, false], ""attention"": [""spatial"", ""spatial""]}, ""quant_spec"": {""weight_bits"": 4, ""act_bits"": 8, ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": false, ""global_weight_bits"": 4, ""global_act_bits"": 8, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [6, 4]}}",{}
10,25,-0.7833333333333333,13.497372849782307,1874.3086,9999.0,True,,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 128, ""depth"": 2, ""channels"": [192, 256], ""kernel_size"": [5, 5], ""block_type"": [""conv"", ""conv""], ""bottleneck_ratio"": [1.0, 6.0], ""skip_connections"": [false, true], ""attention"": [""se"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 4], ""act_bits"": [8, 8], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 4, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 4], ""layer_act_bits"": [8, 8]}}",{}
10,26,-0.8214285714285714,13.566411717732747,1878.5156,9999.0,True,,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 5, ""channels"": [16, 48, 24, 32, 256], ""kernel_size"": [5, 7, 5, 7, 5], ""block_type"": [""conv"", ""ir"", ""ir"", ""conv"", ""ir""], ""bottleneck_ratio"": [1.0, 4.0, 4.0, 2.0, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": 6, ""act_bits"": 6, ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": false, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [8, 6, 4, 4, 4]}}",{}
10,27,-0.8436507936507937,13.896038309733074,1831.6758,9999.0,True,,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 5, ""channels"": [16, 48, 24, 48, 256], ""kernel_size"": [5, 7, 5, 7, 5], ""block_type"": [""conv"", ""ir"", ""ir"", ""conv"", ""ir""], ""bottleneck_ratio"": [1.0, 4.0, 4.0, 2.0, 4.0], ""skip_connections"": [false, false, false, false, true], ""attention"": [""none"", ""eca"", ""spatial"", ""se"", ""spatial""]}, ""quant_spec"": {""weight_bits"": 4, ""act_bits"": 8, ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": false, ""global_weight_bits"": 4, ""global_act_bits"": 8, ""layer_weight_bits"": [6, 8, 4, 8, 6], ""layer_act_bits"": [8, 6, 6, 4, 6]}}",{}
10,28,-0.8412698412698413,13.623061275482177,1857.0234,9999.0,True,,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 256, ""depth"": 3, ""channels"": [192, 64, 32], ""kernel_size"": [7, 5, 7], ""block_type"": [""ds"", ""conv"", ""ds""], ""bottleneck_ratio"": [6.0, 2.0, 0.5], ""skip_connections"": [true, true, true], ""attention"": [""eca"", ""eca"", ""eca""]}, ""quant_spec"": {""weight_bits"": [4, 6, 4], ""act_bits"": [6, 4, 8], ""symmetric"": false, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 8, ""layer_weight_bits"": [4, 6, 4], ""layer_act_bits"": [6, 4, 8]}}",{}
10,29,-0.8682539682539683,13.64119364420573,1845.2422,9999.0,True,,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 224, ""depth"": 2, ""channels"": [96, 96], ""kernel_size"": [7, 3], ""block_type"": [""conv"", ""ds""], ""bottleneck_ratio"": [0.5, 2.0], ""skip_connections"": [true, true], ""attention"": [""spatial"", ""eca""]}, ""quant_spec"": {""weight_bits"": [4, 4], ""act_bits"": [6, 6], ""symmetric"": false, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 8, ""global_act_bits"": 6, ""layer_weight_bits"": [4, 4], ""layer_act_bits"": [6, 6]}}",{}
10,30,-0.8722222222222221,14.182393646240234,1839.9922,9999.0,True,,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 224, ""depth"": 2, ""channels"": [96, 96], ""kernel_size"": [7, 3], ""block_type"": [""ds"", ""ds""], ""bottleneck_ratio"": [2.0, 2.0], ""skip_connections"": [false, false], ""attention"": [""spatial"", ""spatial""]}, ""quant_spec"": {""weight_bits"": [8, 8], ""act_bits"": [8, 8], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 8, ""global_act_bits"": 4, ""layer_weight_bits"": [8, 8], ""layer_act_bits"": [8, 8]}}",{}
10,31,-0.8285714285714285,13.44284372329712,1878.9961,9999.0,True,,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 192, ""depth"": 5, ""channels"": [192, 64, 16, 64, 24], ""kernel_size"": [3, 3, 3, 5, 5], ""block_type"": [""ir"", ""ir"", ""ir"", ""conv"", ""ir""], ""bottleneck_ratio"": [1.0, 6.0, 2.0, 4.0, 4.0], ""skip_connections"": [true, false, false, false, true], ""attention"": [""spatial"", ""spatial"", ""cbam"", ""spatial"", ""none""]}, ""quant_spec"": {""weight_bits"": 4, ""act_bits"": 8, ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": false, ""global_weight_bits"": 4, ""global_act_bits"": 8, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [6, 4, 4, 4, 4]}}",{}
