pareto_rank,individual_index,crowding_distance,neg_auroc,latency_ms,peak_ram_mb,energy_mj,candidate,metrics
20,20,0.13872521743841318,-0.8785714285714286,13.284570693969727,1879.3672,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 16, 192, 16, 16], ""kernel_size"": [5, 7, 3, 3, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [6.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 4], ""act_bits"": [6, 6, 4, 4, 4], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [6, 6, 4, 4, 4]}}",{}
21,21,0.1306978453576373,-0.8507936507936508,13.809577624003092,1790.3594,9999.0,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 224, ""depth"": 5, ""channels"": [192, 64, 16, 64, 24], ""kernel_size"": [3, 3, 7, 5, 3], ""block_type"": [""conv"", ""conv"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [1.0, 6.0, 0.5, 0.5, 0.5], ""skip_connections"": [false, true, false, false, false], ""attention"": [""se"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 4], ""act_bits"": [8, 8, 4, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 4], ""layer_act_bits"": [8, 8, 4, 4, 4]}}",{}
22,22,0.16956234165415957,-0.8587301587301587,13.87908805211385,1790.1094,9999.0,"{""arch_spec"": {""family"": ""patch_cnn"", ""input_size"": 224, ""depth"": 2, ""channels"": [96, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [6, 6], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [6, 6]}}",{}
23,23,0.12366750081303512,-0.8619047619047618,12.998555755615234,1879.1172,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [false, false], ""attention"": [""cbam"", ""eca""]}, ""quant_spec"": {""weight_bits"": 6, ""act_bits"": 6, ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": false, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [8, 4], ""layer_act_bits"": [6, 4]}}",{}
24,24,0.11451705770548226,-0.8333333333333333,12.382185618082682,1873.5859,9999.0,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 2.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": 6, ""act_bits"": 6, ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": false, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [8, 6]}}",{}
25,25,0.10848930203806145,-0.8642857142857143,13.178699684143066,1877.2266,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 48, 24, 48, 256], ""kernel_size"": [5, 7, 5, 7, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [6.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 8], ""act_bits"": [8, 8, 4, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 8], ""layer_act_bits"": [8, 8, 4, 4, 4]}}",{}
26,26,0.10319997802394053,-0.8658730158730158,13.04326941172282,1879.543,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 2, ""channels"": [96, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [8, 6], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [8, 6]}}",{}
27,27,0.09200500739667895,-0.8460317460317459,12.363125356038411,1873.6016,9999.0,"{""arch_spec"": {""family"": ""student_teacher"", ""input_size"": 192, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [6, 6], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [6, 6]}}",{}
28,28,0.08925662386270342,-0.8682539682539683,13.167837874094646,1879.9766,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 2.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [6, 6], ""symmetric"": true, ""per_channel"": false, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [6, 6]}}",{}
29,29,0.08734227670622378,-0.8761904761904762,12.867824077606201,1879.9844,9999.0,"{""arch_spec"": {""family"": ""autoencoder"", ""input_size"": 224, ""depth"": 2, ""channels"": [96, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [true, false], ""attention"": [""cbam"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [8, 6], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [8, 6]}}",{}
30,30,0.07516676345381648,-0.884920634920635,13.644845835367839,1880.2383,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 2, ""channels"": [32, 96], ""kernel_size"": [5, 7], ""block_type"": [""ir"", ""ds""], ""bottleneck_ratio"": [6.0, 1.0], ""skip_connections"": [false, true], ""attention"": [""se"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8], ""act_bits"": [8, 8], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8], ""layer_act_bits"": [8, 8]}}",{}
31,31,inf,-0.8761904761904762,13.810306104024251,1878.1172,9999.0,"{""arch_spec"": {""family"": ""unet"", ""input_size"": 224, ""depth"": 5, ""channels"": [16, 16, 192, 16, 16], ""kernel_size"": [5, 7, 7, 3, 3], ""block_type"": [""ir"", ""ds"", ""conv"", ""conv"", ""conv""], ""bottleneck_ratio"": [2.0, 1.0, 0.5, 0.5, 0.5], ""skip_connections"": [true, false, false, false, false], ""attention"": [""cbam"", ""none"", ""none"", ""none"", ""none""]}, ""quant_spec"": {""weight_bits"": [6, 8, 4, 4, 8], ""act_bits"": [8, 8, 4, 4, 4], ""symmetric"": true, ""per_channel"": true, ""mixed_precision"": true, ""global_weight_bits"": 6, ""global_act_bits"": 6, ""layer_weight_bits"": [6, 8, 4, 4, 8], ""layer_act_bits"": [8, 8, 4, 4, 4]}}",{}
